time,lat,lon,trajectory
2025-06-18 22:01:24,78.3828729,16.3620358,2025_IWOOS_id5
2025-06-18 23:00:43,78.3832589,16.3609925,2025_IWOOS_id5
2025-06-19 00:01:13,78.3834618,16.3616713,2025_IWOOS_id5
2025-06-19 01:00:44,78.3835873,16.3625793,2025_IWOOS_id5
2025-06-19 02:00:56,78.3832574,16.364289,2025_IWOOS_id5
2025-06-19 03:00:41,78.3830505,16.3643969,2025_IWOOS_id5
2025-06-19 04:00:51,78.3830393,16.3646251,2025_IWOOS_id5
2025-06-19 05:00:38,78.3829757,16.3646822,2025_IWOOS_id5
2025-06-19 06:00:54,78.3829377,16.3637229,2025_IWOOS_id5
2025-06-19 07:00:40,78.3828945,16.363378,2025_IWOOS_id5
2025-06-19 08:01:23,78.383,16.3636363,2025_IWOOS_id5
2025-06-19 09:00:38,78.3828407,16.3632903,2025_IWOOS_id5
2025-06-19 10:00:59,78.3828758,16.363818,2025_IWOOS_id5
2025-06-19 11:00:40,78.3830736,16.3643116,2025_IWOOS_id5
2025-06-19 12:01:21,78.3768502,16.3640283,2025_IWOOS_id5
2025-06-19 13:00:44,78.3637733,16.375069,2025_IWOOS_id5
2025-06-19 14:00:50,78.352132,16.387866,2025_IWOOS_id5
2025-06-19 15:00:40,78.3424583,16.4087993,2025_IWOOS_id5
2025-06-19 16:00:54,78.3414027,16.422941,2025_IWOOS_id5
2025-06-19 17:00:40,78.3393632,16.4530488,2025_IWOOS_id5
2025-06-19 18:00:53,78.3383576,16.4831644,2025_IWOOS_id5
2025-06-19 19:00:41,78.3382212,16.4821892,2025_IWOOS_id5
2025-06-19 20:00:57,78.3380393,16.4823057,2025_IWOOS_id5
2025-06-19 21:00:39,78.3379088,16.4821448,2025_IWOOS_id5
2025-06-19 22:00:53,78.3380593,16.4819405,2025_IWOOS_id5
2025-06-19 23:00:53,78.3380849,16.4824804,2025_IWOOS_id5
2025-06-20 00:01:21,78.3381912,16.4834682,2025_IWOOS_id5
2025-06-20 01:01:28,78.3383438,16.4828886,2025_IWOOS_id5
2025-06-20 02:01:20,78.3385578,16.4828147,2025_IWOOS_id5
2025-06-20 03:00:58,78.3384754,16.4829029,2025_IWOOS_id5
2025-06-20 04:01:24,78.3384364,16.4828241,2025_IWOOS_id5
2025-06-20 06:01:19,78.3383779,16.4831357,2025_IWOOS_id5
2025-06-20 07:00:35,78.3383885,16.4828086,2025_IWOOS_id5
2025-06-20 08:00:33,78.3383528,16.4827115,2025_IWOOS_id5
2025-06-20 09:01:45,78.3825113,16.3644776,2025_IWOOS_id5
2025-06-20 10:00:50,78.3826114,16.3638052,2025_IWOOS_id5
2025-06-20 11:00:58,78.382621,16.3640033,2025_IWOOS_id5
2025-06-20 12:01:52,78.3826027,16.3635008,2025_IWOOS_id5
2025-06-20 13:00:39,78.3826149,16.3636485,2025_IWOOS_id5
2025-06-20 14:01:22,78.3825119,16.3633626,2025_IWOOS_id5
2025-06-20 15:00:58,78.3823553,16.3626735,2025_IWOOS_id5
2025-06-20 16:01:15,78.3824877,16.3631527,2025_IWOOS_id5
2025-06-20 17:02:28,78.3826076,16.3638543,2025_IWOOS_id5
2025-06-20 18:00:52,78.382611,16.3655052,2025_IWOOS_id5
2025-06-20 19:00:19,78.3826177,16.3652947,2025_IWOOS_id5
2025-06-20 20:01:56,78.3827423,16.3644089,2025_IWOOS_id5
2025-06-20 21:00:57,78.3827746,16.3645993,2025_IWOOS_id5
2025-06-20 22:00:51,78.3828216,,2025_IWOOS_id5
2025-06-20 23:00:53,78.3827589,16.3643708,2025_IWOOS_id5
2025-06-21 00:00:52,78.3828121,16.3644284,2025_IWOOS_id5
2025-06-21 01:01:14,,16.3642189,2025_IWOOS_id5
2025-06-21 02:01:20,78.3828218,16.3645612,2025_IWOOS_id5
2025-06-21 03:01:22,78.3828334,16.3645106,2025_IWOOS_id5
2025-06-21 04:00:53,78.3828921,16.3644716,2025_IWOOS_id5
